# CosIng Ingredients-Fragrance Inventory v2 (EU Commission open data); official CSV export dated 2020-12-30 (data last update 2020-12-15), retrieved via Internet Archive snapshot 20201230181855
# columns: inci_name,functions (functions ';'-separated, lowercase)
inci_name,functions
(20S)-PROTOPANAXADIOL,skin conditioning;skin conditioning - emollient;skin protecting
(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,anti-sebum;antioxidant;skin protecting
(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,skin conditioning;skin conditioning - emollient
(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT,
(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,humectant;skin conditioning;skin protecting
(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,anti-seborrheic;anti-sebum;antioxidant;skin protecting
(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,antioxidant
(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,humectant;skin conditioning - humectant;skin protecting
(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE,bleaching
(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT,skin conditioning - miscellaneous
(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT,skin conditioning
(BIFIDOBACTERIUM/POLYSORBATE 80 FERMENT + LACTOBACILLUS/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,skin conditioning
(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT,skin conditioning;skin protecting
(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT,hair dyeing
(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT,skin conditioning
(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT,skin conditioning
(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,
(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT,skin conditioning
(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT,skin conditioning
(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT,humectant;skin conditioning;skin protecting
(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT,antimicrobial;antioxidant;humectant
(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT,skin conditioning
(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES,humectant;skin conditioning
(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE,humectant;skin conditioning
(HONEY + ZYMOMONAS FERMENT) EXTRACT,skin conditioning
(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE,skin conditioning
(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,skin conditioning
(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT,anti-sebum;antimicrobial;skin conditioning;skin protecting
(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,anti-sebum;antioxidant;skin conditioning;skin protecting
(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,skin conditioning
(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT,antioxidant
(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT,skin conditioning;skin conditioning - emollient
(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,skin conditioning
(LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,skin conditioning
(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,anti-sebum;antimicrobial;antioxidant;skin conditioning
(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT,humectant;skin conditioning;skin conditioning - emollient
(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT,antioxidant
(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP,humectant;skin conditioning
"1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE",perfuming
"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",perfuming
"1,10-DECANEDIOL",solvent
"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",perfuming
"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",perfuming
"1,2,4-BENZENETRIACETATE",hair dyeing
"1,2,4-TRIHYDROXYBENZENE",hair dyeing
"1,2,6-HEXANETRIOL",humectant;solvent;viscosity controlling
"1,2-BIS-(2-AMINOETHOXY)ETHANE",not reported
"1,2-BUTANEDIOL",humectant;skin conditioning;solvent;viscosity controlling
"1,2-DIHYDROLINALOOL",perfuming
"1,2-HEXANEDIOL",skin conditioning;solvent
"1,2-HEXANEDIYL DICAPRATE",bleaching
"1,3,4,6-TETRAMETHYL-2-PYRIMIDONE SULFATE",hair dyeing
"1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL",not reported
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",hair dyeing
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",hair dyeing
"1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE",not reported
"1,3-DIMETHYL-3-PHENYLBUTYL ACETATE",perfuming
"1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE",perfuming
"1,4-BUTANEDIOL",solvent
"1,4-BUTANEDIOL BISDECANOATE",bleaching
"1,4-BUTANEDIOL DIMETHACRYLATE",film forming
"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID COPOLYMER",abrasive
"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",abrasive;binding;film forming
"1,4-CYCLOHEXANEDICARBOXYLIC ACID",not reported
"1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE",bleaching
"1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE",perfuming
"1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE",perfuming
"1,5-NAPHTHALENEDIOL",hair dyeing
"1,5-PENTANEDIOL",solvent
"1,6-HDI/POLYVINYL ALCOHOL/ETHYLENEDIAMINE CROSSPOLYMER",film forming
"1,6-HEXAMETHYLENE DIISOCYANATE",not reported
"1,6-HEXANEDIAMINE",buffering
"1,7-NAPHTHALENEDIOL",hair dyeing
1-ACETONAPHTHONE,fragrance;perfuming
1-ACETOXY-2-METHYLNAPHTHALENE,hair dyeing
"1-ALLYL-3,4,6-TRIMETHYL-2-PYRIMIDONE BROMIDE",hair dyeing
1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,perfuming
"1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL",perfuming
1-FURFURYL-1H-PYRROLE,perfuming
1-HEXEN-3-OL,perfuming
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",hair dyeing
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",hair dyeing
